অগ্র(agro)	পশ্চাৎ(pashchat)
আপন(apon)	পর(por)
অচল(achol)	সচল(sochol)
আবশ্যক(abashyak)	অনাবশ্যক(onabashyak)
অজ্ঞ(ajna)	বিজ্ঞ(bijnan)
আবির্ভাব(abirbhav)	তিরোভাব(tirobhab)
অতিবৃষ্টি(atibrishti)	অনাবৃষ্টি(onabrishti)
আমদানি(amdani)	রপ্তানি(roptani)
অধম(odhom)	উত্তম(uttom)
আয়(ay)	ব্যয়(byay)
অধমর্ণ(odhomron)	উত্তমর্ণ(uttomron)
আশা(asha)	নিরাশা(nirasha)
অনুকূল(onukul)	প্রতিকূল(protikul)
আশু(ashu)	বিলম্ব(bilomb)
অনুরক্ত(onurokt)	বিরক্ত(birokt)
আস্থা(astha)	অনাস্থা(onasthe)
অনুরাগ(onurag)	বিরাগ(birag)
ইস্তফা(istafa)	যোগদান(yogdan)
অন্তর(ontor)	বাহির(bahir)
ইহলোক(ihalok)	পরলোক(poralok)
অন্তরঙ্গ(ontorongo)	বহিরঙ্গ(bohirongo)
ইহা(iha)	উহা(uha)
অপরাধী(oporadhi)	নিরপরাধ(niroporadhi)
উচ্চ(uccho)	নীচ(neech)
অপ্রতিভ(apratibh)	সপ্রতিভ(sopratibh)
উৎকর্ষ(utkorso)	অপকর্ষ(opkorso)
অভিজ্ঞ(obhyogi)	অনভিজ্ঞ(onobhogi)
উৎকণ্ঠা(utkonkha)	স্বস্তি(swosti)
অর্থ(orth)	অনর্থ(onorth)
উৎসাহ(utsaho)	নিরুৎসাহ(nirutsaho)
অল্প(olpo)	অধিক(odhik)
উত্তর(uttor)	দক্ষিণ(dokhin)
অস্তি(osti)	নাস্তি(nasti)
উত্থান(utthan)	পতন(poton)
আকর্ষণ(akarshon)	বিকর্ষণ(bikorhon)
উদয়(udoy)	অস্ত(ost)
আচার(achar)	অনাচার(onachar)
উদ্দিষ্ট(uddisto)	নিরুদ্দিষ্ট(niroddisto)
আত্মীয়(atmi)	অনাত্মীয়(onatmi)
উন্নতি(unnoti)	অবনতি(obnati)
উপস্থিত(uposthit)	অনুপস্থিত(onuposthit)
জড়(jor)	চেতন(cheton)
উপশম(uposhom)	বৃদ্ধি(briddhi)
জয়(joy)	পরাজয়(porajoy)
উর্ধ্ব(urddho)	অধো(odho)
জাগরণ(jagoron)	নিদ্রা(nidra)
এলোমেলো(elomelo)	গোছানো(gochano)
জোয়ার(joar)	ভাটা(bhata)
ওস্তাদ(ostad)	সাগরেদ(sagored)
জ্ঞানী(gnani)	মূর্খ(murkho)
